trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
47,False,"{'a': 0.5, 'e': 0.686602333042301}",35,0,-130.79217490521538,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6811314271795471}",30,0,-100.17309287569948,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.675704113960626}",20,7,-45.112214978766445,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-62.58026753726551,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.6649788788224019}",20,0,-13.76028699451795,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.659680270484389}",35,0,-116.4052991928962,"{0: 22, 1: 6, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.6544238819088586}",25,0,-104.24604872516777,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.6492093766851474}",25,0,-92.1563557262941,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.6440364210831414}",30,14,-81.97945070380403,"{0: 11, 1: 1, 2: 0, 3: 3, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.6389046840319162}",25,0,-25.087512436921408,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.633813837098549}",25,6,-112.67568649871693,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.6287635544670984}",30,16,-53.153942974388265,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.623753512917752}",20,0,-109.59662859807162,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-35.094462016077564,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6138528730428171}",30,0,-158.61724811218303,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.6089616410728969}",20,3,-71.40282849401763,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.6041093828558647}",20,0,-91.01993738983937,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.5992957878455384}",25,2,-66.98192855654452,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-80.11155512706317,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5897833576128504}",20,2,-18.728974527894305,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5850839135917069}",20,0,-89.60119796721305,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.5804219151407424}",25,0,-60.7860068880607,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5757970638904645}",20,0,-81.55373868084745,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,12,-31.93761183016809,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.5666576213822246}",20,0,-88.38593803467045,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.5621424451968224}",20,0,-51.37036952145959,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.5576632463197913}",25,0,-141.86414249283467,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.5532197380808739}",25,0,-99.80352187426664,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-56.88335712364333,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.5444386582392171}",30,0,-126.30443580816453,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
